Number,Title,Yardage,Description,TSS,Duration
3,Open Water Skills #1,2500,"**Warm Up**
-  600 as: - 300 Swim @50-70% - 5x25 Kick - Take 5s - 100 Pull @60-70%
**Drill Set**
•  5x25 Press Your Buoy Drill - Take 5-10s 5x25 TARZAN Swim - Take 5-10s
**Pre-Set**
•  3x50 Swim as 25 HIGH Turnover, 25 Steady 3x50 Swim as 25 OVER-Kick, 25 Limit Kick
**Main Set**
•  - Two Times Through... 1x400 in 6:06–6:11 (Z2), sight in the middle of each length on 6:30 1x100 @HIGH uptempo, with no walls* - Take 10s 100 EASY reset
**Cool Down**
•  3x25 Press Your Buoy Drill - Take 5-10s 3x25 TARZAN Swim - Take 5-10s 100 Choice

**Total: 3,899 yards (3,566 meters)**

**Total: 2500 yards**",50,3000
3,Open Water Skills #1,3000,"**Warm Up**
-  600 as: - 300 Swim @50-70% - 6x25 Kick - Take 5s - 100 Pull @60-70%
**Drill Set**
•  6x25 Press Your Buoy Drill - Take 5-10s 6x25 TARZAN Swim - Take 5-10s
**Pre-Set**
•  3x50 Swim as 25 HIGH Turnover, 25 Steady 3x50 Swim as 25 OVER-Kick, 25 Limit Kick
**Main Set**
•  - Two Times Through... 2x400 in 6:06–6:11 (Z2), sight in the middle of each length on 6:30 2x100 @HIGH uptempo, with no walls* - Take 10s 100 EASY reset
**Cool Down**
•  3x25 Press Your Buoy Drill - Take 5-10s 3x25 TARZAN Swim - Take 5-10s 100 Choice

**Total: 3,899 yards (3,566 meters)**

**Total: 3000 yards**",60,3600
3,Open Water Skills #1,3500,"**Warm Up**
-  600 as: - 300 Swim @50-70% - 7x25 Kick - Take 5s - 100 Pull @60-70%
**Drill Set**
•  7x25 Press Your Buoy Drill - Take 5-10s 7x25 TARZAN Swim - Take 5-10s
**Pre-Set**
•  4x50 Swim as 25 HIGH Turnover, 25 Steady 4x50 Swim as 25 OVER-Kick, 25 Limit Kick
**Main Set**
•  - Two Times Through... 2x400 in 6:06–6:11 (Z2), sight in the middle of each length on 6:30 2x100 @HIGH uptempo, with no walls* - Take 10s 100 EASY reset
**Cool Down**
•  4x25 Press Your Buoy Drill - Take 5-10s 4x25 TARZAN Swim - Take 5-10s 100 Choice

**Total: 3,899 yards (3,566 meters)**

**Total: 3500 yards**",70,4200
3,Open Water Skills #1,3900,"**Warm-Up**
  -  600 as: - 300 Swim @50-70% - 8x25 Kick - Take 5s - 100 Pull @60-70% 
**Drill Set**
•  8x25 Press Your Buoy Drill - Take 5-10s 8x25 TARZAN Swim - Take 5-10s 
**Pre-Set**
•  4x50 Swim as 25 HIGH Turnover, 25 Steady 4x50 Swim as 25 OVER-Kick, 25 Limit Kick 
**Main Set**
•  - Two Times Through... 2x400 in 6:06–6:11 (Z2), sight in the middle of each length on 6:30 2x100 @HIGH uptempo, with no walls* - Take 10s 100 EASY reset 
**Cool-Down**
•  4x25 Press Your Buoy Drill - Take 5-10s 4x25 TARZAN Swim - Take 5-10s 100 Choice

**Total: 3,899 yards (3,566 meters)**",78,4680
4,Endurance Build #2,2000,"**Warm Up**
-  400 as: - 200 Swim @50–70% - 100 Pull/Paddles @70% - 2x25 FAST Swim – Take 10s
**Drill Set**
•  – Take 5–10s after each 50 Six Times Through... - 25 Finger Tip Drag - 25 Swim
**Pre-Set**
•  8x(25 Kick, 50 Swim @80% – Take 10s)
**Main Set**
•  3x100 Swim in 1:30 (CS) on 1:40 1x250 Swim in 3:49–3:52 (Z2) on 4:05 500 Swim in 7:38–7:44 (Z2) on 8:00 2x100 Swim in 1:26 (5%) on 1:45
**Cool Down**
•  2x25 Finger Tip Drag – Take 5s 100 Swim br 3/5/7/3 by 25

**Total: 3,499 yards (3,200 meters)**

**Total: 2000 yards**",40,2400
4,Endurance Build #2,2500,"**Warm Up**
-  400 as: - 200 Swim @50–70% - 100 Pull/Paddles @70% - 3x25 FAST Swim – Take 10s
**Drill Set**
•  – Take 5–10s after each 50 Six Times Through... - 25 Finger Tip Drag - 25 Swim
**Pre-Set**
•  8x(25 Kick, 50 Swim @80% – Take 10s)
**Main Set**
•  4x100 Swim in 1:30 (CS) on 1:40 1x250 Swim in 3:49–3:52 (Z2) on 4:05 500 Swim in 7:38–7:44 (Z2) on 8:00 3x100 Swim in 1:26 (5%) on 1:45
**Cool Down**
•  3x25 Finger Tip Drag – Take 5s 100 Swim br 3/5/7/3 by 25

**Total: 3,499 yards (3,200 meters)**

**Total: 2500 yards**",50,3000
4,Endurance Build #2,3000,"**Warm Up**
-  400 as: - 200 Swim @50–70% - 100 Pull/Paddles @70% - 3x25 FAST Swim – Take 10s
**Drill Set**
•  – Take 5–10s after each 50 Six Times Through... - 25 Finger Tip Drag - 25 Swim
**Pre-Set**
•  8x(25 Kick, 50 Swim @80% – Take 10s)
**Main Set**
•  5x100 Swim in 1:30 (CS) on 1:40 2x250 Swim in 3:49–3:52 (Z2) on 4:05 500 Swim in 7:38–7:44 (Z2) on 8:00 3x100 Swim in 1:26 (5%) on 1:45
**Cool Down**
•  3x25 Finger Tip Drag – Take 5s 100 Swim br 3/5/7/3 by 25

**Total: 3,499 yards (3,200 meters)**

**Total: 3000 yards**",60,3600
4,Endurance Build #2,3500,"**Warm-Up**
  -  400 as: - 200 Swim @50–70% - 100 Pull/Paddles @70% - 4x25 FAST Swim – Take 10s 
**Drill Set**
•  – Take 5–10s after each 50 Six Times Through... - 25 Finger Tip Drag - 25 Swim 
**Pre-Set**
•  8x(25 Kick, 50 Swim @80% – Take 10s) 
**Main Set**
•  6x100 Swim in 1:30 (CS) on 1:40 2x250 Swim in 3:49–3:52 (Z2) on 4:05 500 Swim in 7:38–7:44 (Z2) on 8:00 4x100 Swim in 1:26 (5%) on 1:45 
**Cool-Down**
•  4x25 Finger Tip Drag – Take 5s 100 Swim br 3/5/7/3 by 25

**Total: 3,499 yards (3,200 meters)**",70,4200
5,Speed and Power #2,2000,"**Warm Up**
-  500 as: - 200 Swim @50–70% - 2x25 Kick – Take 5s - 100 Pull @60–70% - 2x25 FAST Swim – Take 5–10s
**Drill Set**
•  3x50 as 25 Front Scull / 25 Swim – Take 5–10s
**Pre-Set**
•  500 Swim as 100H/100E, 75H/75E, 50H/50E, 25H/25E
**Main Set**
•  9x50 Swim in :43 (5%) on 1:00 5x25 Swim in :20 (10%) on :35 1x100 Swim in 1:30 (CS) on 1:40 200 Swim in 3:03–3:06 (Z2) on 3:20 7x50 Swim in :43 (5%) on 1:00
**Cool Down**
•  2x25 Scull – Take 5s 100 Choice

**Total: 3,499 yards (3,200 meters)**

**Total: 2000 yards**",40,2400
5,Speed and Power #2,2500,"**Warm Up**
-  500 as: - 200 Swim @50–70% - 3x25 Kick – Take 5s - 100 Pull @60–70% - 3x25 FAST Swim – Take 5–10s
**Drill Set**
•  4x50 as 25 Front Scull / 25 Swim – Take 5–10s
**Pre-Set**
•  500 Swim as 100H/100E, 75H/75E, 50H/50E, 25H/25E
**Main Set**
•  11x50 Swim in :43 (5%) on 1:00 6x25 Swim in :20 (10%) on :35 1x100 Swim in 1:30 (CS) on 1:40 200 Swim in 3:03–3:06 (Z2) on 3:20 9x50 Swim in :43 (5%) on 1:00
**Cool Down**
•  3x25 Scull – Take 5s 100 Choice

**Total: 3,499 yards (3,200 meters)**

**Total: 2500 yards**",50,3000
