Number,Title,Yardage,Description,TSS,Duration
1,Endurance Build #1,2000,"Warm Up 400 as: - 200 Swim @50–70% - 2x25 Kick – Take 5s - 100 Pull @70% Drill Set – Take 5–10s after each 25 One Times Through... 25 Press Your Buoy Drill 25 Swim Pre-Set 4x50 Swim in :37 (CS) on :50 Main Set 2x600 as follows, w/ 20s in between each: #1 in 7:32–7:39 (Z2) #2 in 7:45–7:52 (Z1) #3 in 7:23–7:30 (CS) #4 in 7:23–7:30 (CS) Cool Down 2x25 Press Your Buoy Drill 1x50 Swim – focused on PYB and a neutral head – Take 5–10s between each",40,1702
1,Endurance Build #1,2500,"Warm Up 400 as: - 200 Swim @50–70% - 3x25 Kick – Take 5s - 100 Pull @70% Drill Set – Take 5–10s after each 25 One Times Through... 25 Press Your Buoy Drill 25 Swim Pre-Set 5x50 Swim in :37 (CS) on :50 Main Set 3x600 as follows, w/ 20s in between each: #1 in 7:32–7:39 (Z2) #2 in 7:45–7:52 (Z1) #3 in 7:23–7:30 (CS) #4 in 7:23–7:30 (CS) Cool Down 3x25 Press Your Buoy Drill 1x50 Swim – focused on PYB and a neutral head – Take 5–10s between each",50,2128
1,Endurance Build #1,3000,"Warm Up 400 as: - 200 Swim @50–70% - 3x25 Kick – Take 5s - 100 Pull @70% Drill Set – Take 5–10s after each 25 Two Times Through... 25 Press Your Buoy Drill 25 Swim Pre-Set 6x50 Swim in :37 (CS) on :50 Main Set 3x600 as follows, w/ 20s in between each: #1 in 7:32–7:39 (Z2) #2 in 7:45–7:52 (Z1) #3 in 7:23–7:30 (CS) #4 in 7:23–7:30 (CS) Cool Down 3x25 Press Your Buoy Drill 2x50 Swim – focused on PYB and a neutral head – Take 5–10s between each",60,2553
1,Endurance Build #1,3500,"Warm Up 400 as: - 200 Swim @50–70% - 4x25 Kick – Take 5s - 100 Pull @70% Drill Set – Take 5–10s after each 25 Six Times Through... 25 Press Your Buoy Drill 25 Swim Pre-Set 8x50 Swim in :37 (CS) on :50 Main Set 4x600 as follows, w/ 20s in between each: #1 in 7:32–7:39 (Z2) #2 in 7:45–7:52 (Z1) #3 in 7:23–7:30 (CS) #4 in 7:23–7:30 (CS) Cool Down 4x25 Press Your Buoy Drill 2x50 Swim – focused on PYB and a neutral head – Take 5–10s between each",70,2978
1,Endurance Build #1,3700,"Warm Up 400 as: - 200 Swim @50–70% - 4x25 Kick – Take 5s - 100 Pull @70% Drill Set – Take 5–10s after each 25 Six Times Through... 25 Press Your Buoy Drill 25 Swim Pre-Set 8x50 Swim in :37 (CS) on :50 Main Set 4x600 as follows, w/ 20s in between each: #1 in 7:32–7:39 (Z2) #2 in 7:45–7:52 (Z1) #3 in 7:23–7:30 (CS) #4 in 7:23–7:30 (CS) Cool Down 4x25 Press Your Buoy Drill 2x50 Swim – focused on PYB and a neutral head – Take 5–10s between each",74,3149
2,Endurance Build #2,2000,"Warm Up 400 as: - 200 Swim @50–70% - 100 Pull/Paddles @70% - 2x25 FAST Swim – Take 10s Drill Set – Take 5–10s after each 50 One Times Through... - 25 TARZAN Swim - 25 Swim Pre-Set 8x(25 Kick, 50 Swim @80% – Take 10s) Main Set 3x100 Swim in 1:14 (CS) on 1:25 1x250 Swim in 3:08–3:11 (Z2) on 3:25 500 Swim in 6:16-6:22 (Z2) – Take 20s 2x100 Swim in 1:10 (5%) on 1:25 Cool Down 2x25 TARZAN Swim – Take 5s 100 Swim br 3/5/7/3 by 25",40,1702
2,Endurance Build #2,2500,"Warm Up 400 as: - 200 Swim @50–70% - 100 Pull/Paddles @70% - 3x25 FAST Swim – Take 10s Drill Set – Take 5–10s after each 50 One Times Through... - 25 TARZAN Swim - 25 Swim Pre-Set 8x(25 Kick, 50 Swim @80% – Take 10s) Main Set 4x100 Swim in 1:14 (CS) on 1:25 1x250 Swim in 3:08–3:11 (Z2) on 3:25 500 Swim in 6:16-6:22 (Z2) – Take 20s 3x100 Swim in 1:10 (5%) on 1:25 Cool Down 3x25 TARZAN Swim – Take 5s 100 Swim br 3/5/7/3 by 25",50,2128
2,Endurance Build #2,3000,"Warm Up 400 as: - 200 Swim @50–70% - 100 Pull/Paddles @70% - 3x25 FAST Swim – Take 10s Drill Set – Take 5–10s after each 50 Three Times Through... - 25 TARZAN Swim - 25 Swim Pre-Set 8x(25 Kick, 50 Swim @80% – Take 10s) Main Set 5x100 Swim in 1:14 (CS) on 1:25 2x250 Swim in 3:08–3:11 (Z2) on 3:25 500 Swim in 6:16-6:22 (Z2) – Take 20s 3x100 Swim in 1:10 (5%) on 1:25 Cool Down 3x25 TARZAN Swim – Take 5s 100 Swim br 3/5/7/3 by 25",60,2553
2,Endurance Build #2,3500,"Warm Up 400 as: - 200 Swim @50–70% - 100 Pull/Paddles @70% - 4x25 FAST Swim – Take 10s Drill Set – Take 5–10s after each 50 Six Times Through... - 25 TARZAN Swim - 25 Swim Pre-Set 8x(25 Kick, 50 Swim @80% – Take 10s) Main Set 6x100 Swim in 1:14 (CS) on 1:25 2x250 Swim in 3:08–3:11 (Z2) on 3:25 500 Swim in 6:16-6:22 (Z2) – Take 20s 4x100 Swim in 1:10 (5%) on 1:25 Cool Down 4x25 TARZAN Swim – Take 5s 100 Swim br 3/5/7/3 by 25",70,2978
3,Endurance Build #3,2000,"Warm Up 500 as: - 300 Swim @50-60% - 2x25 Kick - Take 5-10s - 2x25 Swim as 12.5 HARD / 12.5 EASY - Take 5-10s Drill Set - Take 5-10s after each 50 3x50 as: - ODDS: Catch-Up Drill - EVENS: 6-Kick Switch Drill Pre-Set 500 Pull/Paddles as 100H/100E, 75H/75E, 50H/50E, 25H/25E Main Set 3x400 - Take 15-20s after each, as: #1 - @70% br3 #2 - in 5:01–5:06 (Z2) #3 - @70% br3 #4 - 4:55–5:00 (CS) #5 - Paddles @70% br3 Cool Down 2x25 Catch-Up Drill - Take 5s 100 Swim br 3/5/7/3 by 25",40,1702
