Number,Title,Yardage,Description,TSS,Duration
1,Triathlon Swim Series - Endurance Build #1 - [WKT #1],2000,"Warm Up 400 as: - 200 Swim @50-70% - 4x25 Kick - Take 5s - 100 Pull @70% Drill Set - Take 5-10s after each 25 Six Times Through... - 25 Press Your Buoy Drill - 25 Swim Pre-Set 8x50 Swim in :44 (CS) on 1:00 Main Set 4x600 as follows, w/ 20s in between each: #1 in 8:58–9:05 (Z2) #2 in 9:13–9:20 (Z1) #3 in 8:47–8:54 (CS) #4 in 8:47–8:54 (CS) Cool Down 4x25 Press Your Buoy Drill 2x50 Swim - focused on PYB and a neutral head - Take 5-10s between each",24,1760
1,Triathlon Swim Series - Endurance Build #1 - [WKT #1],2500,"Warm Up 400 as: - 200 Swim @50-70% - 4x25 Kick - Take 5s - 100 Pull @70% Drill Set - Take 5-10s after each 25 Six Times Through... - 25 Press Your Buoy Drill - 25 Swim Pre-Set 8x50 Swim in :44 (CS) on 1:00 Main Set 4x600 as follows, w/ 20s in between each: #1 in 8:58–9:05 (Z2) #2 in 9:13–9:20 (Z1) #3 in 8:47–8:54 (CS) #4 in 8:47–8:54 (CS) Cool Down 4x25 Press Your Buoy Drill 2x50 Swim - focused on PYB and a neutral head - Take 5-10s between each",30,2200
1,Triathlon Swim Series - Endurance Build #1 - [WKT #1],3000,"Warm Up 400 as: - 200 Swim @50-70% - 4x25 Kick - Take 5s - 100 Pull @70% Drill Set - Take 5-10s after each 25 Six Times Through... - 25 Press Your Buoy Drill - 25 Swim Pre-Set 8x50 Swim in :44 (CS) on 1:00 Main Set 4x600 as follows, w/ 20s in between each: #1 in 8:58–9:05 (Z2) #2 in 9:13–9:20 (Z1) #3 in 8:47–8:54 (CS) #4 in 8:47–8:54 (CS) Cool Down 4x25 Press Your Buoy Drill 2x50 Swim - focused on PYB and a neutral head - Take 5-10s between each",36,2640
1,Triathlon Swim Series - Endurance Build #1 - [WKT #1],3500,"Warm Up 400 as: - 200 Swim @50-70% - 4x25 Kick - Take 5s - 100 Pull @70% Drill Set - Take 5-10s after each 25 Six Times Through... - 25 Press Your Buoy Drill - 25 Swim Pre-Set 8x50 Swim in :44 (CS) on 1:00 Main Set 4x600 as follows, w/ 20s in between each: #1 in 8:58–9:05 (Z2) #2 in 9:13–9:20 (Z1) #3 in 8:47–8:54 (CS) #4 in 8:47–8:54 (CS) Cool Down 4x25 Press Your Buoy Drill 2x50 Swim - focused on PYB and a neutral head - Take 5-10s between each",42,3080
1,Triathlon Swim Series - Endurance Build #1 - [WKT #1],3383,"Warm Up 400 as: - 200 Swim @50-70% - 4x25 Kick - Take 5s - 100 Pull @70% Drill Set - Take 5-10s after each 25 Six Times Through... - 25 Press Your Buoy Drill - 25 Swim Pre-Set 8x50 Swim in :44 (CS) on 1:00 Main Set 4x600 as follows, w/ 20s in between each: #1 in 8:58–9:05 (Z2) #2 in 9:13–9:20 (Z1) #3 in 8:47–8:54 (CS) #4 in 8:47–8:54 (CS) Cool Down 4x25 Press Your Buoy Drill 2x50 Swim - focused on PYB and a neutral head - Take 5-10s between each",40,2977
1,Triathlon Swim Series - Speed and Power #1 - [WKT #2],2000,Warm Up 500 as: - 300 Swim @50–70% - 4x25 Kick – Take 5s - 100 Pull @60–70% Drill Set 8x25 3-2-3 Drill* Pre-Set Eight Times Through... - 25 KOB – Take 5s - 50 Swim @80% – Take 10s Main Set Two Times Through... - 10x50 Swim in :40 (10%) on :55 - 4x100 Swim in 1:28 (CS) on 1:40 - 100 EASY Cool Down 4x25 3-2-3 Drill 100 Choice,24,1760
1,Triathlon Swim Series - Speed and Power #1 - [WKT #2],2500,Warm Up 500 as: - 300 Swim @50–70% - 4x25 Kick – Take 5s - 100 Pull @60–70% Drill Set 8x25 3-2-3 Drill* Pre-Set Eight Times Through... - 25 KOB – Take 5s - 50 Swim @80% – Take 10s Main Set Two Times Through... - 10x50 Swim in :40 (10%) on :55 - 4x100 Swim in 1:28 (CS) on 1:40 - 100 EASY Cool Down 4x25 3-2-3 Drill 100 Choice,30,2200
1,Triathlon Swim Series - Speed and Power #1 - [WKT #2],3000,Warm Up 500 as: - 300 Swim @50–70% - 4x25 Kick – Take 5s - 100 Pull @60–70% Drill Set 8x25 3-2-3 Drill* Pre-Set Eight Times Through... - 25 KOB – Take 5s - 50 Swim @80% – Take 10s Main Set Two Times Through... - 10x50 Swim in :40 (10%) on :55 - 4x100 Swim in 1:28 (CS) on 1:40 - 100 EASY Cool Down 4x25 3-2-3 Drill 100 Choice,36,2640
1,Triathlon Swim Series - Speed and Power #1 - [WKT #2],3500,Warm Up 500 as: - 300 Swim @50–70% - 4x25 Kick – Take 5s - 100 Pull @60–70% Drill Set 8x25 3-2-3 Drill* Pre-Set Eight Times Through... - 25 KOB – Take 5s - 50 Swim @80% – Take 10s Main Set Two Times Through... - 10x50 Swim in :40 (10%) on :55 - 4x100 Swim in 1:28 (CS) on 1:40 - 100 EASY Cool Down 4x25 3-2-3 Drill 100 Choice,42,3080
1,Triathlon Swim Series - Speed and Power #1 - [WKT #2],3200,Warm Up 500 as: - 300 Swim @50–70% - 4x25 Kick – Take 5s - 100 Pull @60–70% Drill Set 8x25 3-2-3 Drill* Pre-Set Eight Times Through... - 25 KOB – Take 5s - 50 Swim @80% – Take 10s Main Set Two Times Through... - 10x50 Swim in :40 (10%) on :55 - 4x100 Swim in 1:28 (CS) on 1:40 - 100 EASY Cool Down 4x25 3-2-3 Drill 100 Choice,38,2816
