Number,Title,Yardage,Description,TSS,Duration
1,Triathlon Swim Series - Endurance Build #1 - [WKT #1],2000,"Warm Up 400 as: - 200 Swim @50–70% - 4x25 Kick – Take 5s - 100 Pull @70% Drill Set – Take 5–10s after each 25 Six Times Through... - 25 Press Your Buoy Drill - 25 Swim Pre-Set 8x50 Swim in :38 (CS) on :49 Main Set 4x600 as follows, w/ 20s in between each: #1 in 7:41-7:48 (Z2) #2 in 7:44-7:51 (Z1) #3 in 8:42–8:49 (CS) #4 in 8:42–8:49 (CS) Cool Down 4x25 Press Your Buoy Drill 2x50 Swim – focused on PYB and a neutral head – Take 5–10s between each",24,1500
1,Triathlon Swim Series - Endurance Build #1 - [WKT #1],2500,"Warm Up 400 as: - 200 Swim @50–70% - 4x25 Kick – Take 5s - 100 Pull @70% Drill Set – Take 5–10s after each 25 Six Times Through... - 25 Press Your Buoy Drill - 25 Swim Pre-Set 8x50 Swim in :38 (CS) on :49 Main Set 4x600 as follows, w/ 20s in between each: #1 in 7:41-7:48 (Z2) #2 in 7:44-7:51 (Z1) #3 in 8:42–8:49 (CS) #4 in 8:42–8:49 (CS) Cool Down 4x25 Press Your Buoy Drill 2x50 Swim – focused on PYB and a neutral head – Take 5–10s between each",30,1875
1,Triathlon Swim Series - Endurance Build #1 - [WKT #1],3000,"Warm Up 400 as: - 200 Swim @50–70% - 4x25 Kick – Take 5s - 100 Pull @70% Drill Set – Take 5–10s after each 25 Six Times Through... - 25 Press Your Buoy Drill - 25 Swim Pre-Set 8x50 Swim in :38 (CS) on :49 Main Set 4x600 as follows, w/ 20s in between each: #1 in 7:41-7:48 (Z2) #2 in 7:44-7:51 (Z1) #3 in 8:42–8:49 (CS) #4 in 8:42–8:49 (CS) Cool Down 4x25 Press Your Buoy Drill 2x50 Swim – focused on PYB and a neutral head – Take 5–10s between each",36,2250
1,Triathlon Swim Series - Endurance Build #1 - [WKT #1],3500,"Warm Up 400 as: - 200 Swim @50–70% - 4x25 Kick – Take 5s - 100 Pull @70% Drill Set – Take 5–10s after each 25 Six Times Through... - 25 Press Your Buoy Drill - 25 Swim Pre-Set 8x50 Swim in :38 (CS) on :49 Main Set 4x600 as follows, w/ 20s in between each: #1 in 7:41-7:48 (Z2) #2 in 7:44-7:51 (Z1) #3 in 8:42–8:49 (CS) #4 in 8:42–8:49 (CS) Cool Down 4x25 Press Your Buoy Drill 2x50 Swim – focused on PYB and a neutral head – Take 5–10s between each",42,2625
1,Triathlon Swim Series - Speed and Power #1 - [WKT #2],2000,Warm Up 500 as: - 300 Swim @50–70% - 4x25 Kick – Take 5s - 100 Pull @60–70% Drill Set 8x25 3-2-3 Drill* Pre-Set – Eight Times Through... 25 KOB – Take 5s 50 Swim @80% – Take 10s Main Set – Two Times Through... 10x50 Swim in :34 (10%) on :49 4x100 Swim in 1:15 (CS) on 1:29 100 EASY Cool Down 4x25 3-2-3 Drill 100 Choice,24,1500
1,Triathlon Swim Series - Speed and Power #1 - [WKT #2],2500,Warm Up 500 as: - 300 Swim @50–70% - 4x25 Kick – Take 5s - 100 Pull @60–70% Drill Set 8x25 3-2-3 Drill* Pre-Set – Eight Times Through... 25 KOB – Take 5s 50 Swim @80% – Take 10s Main Set – Two Times Through... 10x50 Swim in :34 (10%) on :49 4x100 Swim in 1:15 (CS) on 1:29 100 EASY Cool Down 4x25 3-2-3 Drill 100 Choice,30,1875
1,Triathlon Swim Series - Speed and Power #1 - [WKT #2],3000,Warm Up 500 as: - 300 Swim @50–70% - 4x25 Kick – Take 5s - 100 Pull @60–70% Drill Set 8x25 3-2-3 Drill* Pre-Set – Eight Times Through... 25 KOB – Take 5s 50 Swim @80% – Take 10s Main Set – Two Times Through... 10x50 Swim in :34 (10%) on :49 4x100 Swim in 1:15 (CS) on 1:29 100 EASY Cool Down 4x25 3-2-3 Drill 100 Choice,36,2250
1,Triathlon Swim Series - Speed and Power #1 - [WKT #2],3500,Warm Up 500 as: - 300 Swim @50–70% - 4x25 Kick – Take 5s - 100 Pull @60–70% Drill Set 8x25 3-2-3 Drill* Pre-Set – Eight Times Through... 25 KOB – Take 5s 50 Swim @80% – Take 10s Main Set – Two Times Through... 10x50 Swim in :34 (10%) on :49 4x100 Swim in 1:15 (CS) on 1:29 100 EASY Cool Down 4x25 3-2-3 Drill 100 Choice,42,2625
1,Triathlon Swim Series - Open Water Skills #1 - [WKT #3],2000,"Warm Up 600 as: - 300 Swim @50–70% - 8x25 Kick – Take 5s - 100 Pull @60–70% Drill Set 8x25 Press Your Buoy Drill – Take 5–10s 8x25 TARZAN Swim – Take 5–10s Pre-Set 4x50 Swim as 25 HIGH Turnover, 25 Steady 4x50 Swim as 25 OVER-Kick, 25 Limit Kick Main Set Two Times Through... - 2x400 in 5:05-5:06 (Z2), sight in the middle of each length on 1:29 - 2x100 @HIGH uptempo, with no walls* – Take 10s - 100 EASY reset Cool Down 4x25 Press Your Buoy Drill – Take 5–10s 4x25 TARZAN Swim – Take 5–10s 100 Choice",24,1500
1,Triathlon Swim Series - Open Water Skills #1 - [WKT #3],2500,"Warm Up 600 as: - 300 Swim @50–70% - 8x25 Kick – Take 5s - 100 Pull @60–70% Drill Set 8x25 Press Your Buoy Drill – Take 5–10s 8x25 TARZAN Swim – Take 5–10s Pre-Set 4x50 Swim as 25 HIGH Turnover, 25 Steady 4x50 Swim as 25 OVER-Kick, 25 Limit Kick Main Set Two Times Through... - 2x400 in 5:05-5:06 (Z2), sight in the middle of each length on 1:29 - 2x100 @HIGH uptempo, with no walls* – Take 10s - 100 EASY reset Cool Down 4x25 Press Your Buoy Drill – Take 5–10s 4x25 TARZAN Swim – Take 5–10s 100 Choice",30,1875
