Number,Title,Yardage,Description,TSS,Duration
1,Triathlon Swim Series - Endurance Build #1,2000,"Warm Up 400 as: - 200 Swim @50–70% - 2x25 Kick – Take 5s - 100 Pull @70% Drill Set – Take 5–10s after each 25 Six Times Through... 25 Press Your Buoy Drill 25 Swim Pre-Set 4x50 Swim in :35 (CS) on :45 Main Set 2x600 as follows, w/ 20s in between each: #1 in 7:07–7:14 (Z2) #2 in 7:20–7:27 (Z1) #3 in 6:59–7:06 (CS) #4 in 6:59–7:06 (CS) Cool Down 2x25 Press Your Buoy Drill 1x50 Swim – focused on PYB and a neutral head – Take 5–10s between each",40,2400
1,Triathlon Swim Series - Endurance Build #1,2200,"Warm Up 400 as: - 200 Swim @50–70% - 2x25 Kick – Take 5s - 100 Pull @70% Drill Set – Take 5–10s after each 25 Six Times Through... 25 Press Your Buoy Drill 25 Swim Pre-Set 5x50 Swim in :35 (CS) on :45 Main Set 2x600 as follows, w/ 20s in between each: #1 in 7:07–7:14 (Z2) #2 in 7:20–7:27 (Z1) #3 in 6:59–7:06 (CS) #4 in 6:59–7:06 (CS) Cool Down 2x25 Press Your Buoy Drill 1x50 Swim – focused on PYB and a neutral head – Take 5–10s between each",44,2640
1,Triathlon Swim Series - Endurance Build #1,2500,"Warm Up 400 as: - 200 Swim @50–70% - 3x25 Kick – Take 5s - 100 Pull @70% Drill Set – Take 5–10s after each 25 Six Times Through... 25 Press Your Buoy Drill 25 Swim Pre-Set 5x50 Swim in :35 (CS) on :45 Main Set 3x600 as follows, w/ 20s in between each: #1 in 7:07–7:14 (Z2) #2 in 7:20–7:27 (Z1) #3 in 6:59–7:06 (CS) #4 in 6:59–7:06 (CS) Cool Down 3x25 Press Your Buoy Drill 1x50 Swim – focused on PYB and a neutral head – Take 5–10s between each",50,3000
1,Triathlon Swim Series - Endurance Build #1,2700,"Warm Up 400 as: - 200 Swim @50–70% - 3x25 Kick – Take 5s - 100 Pull @70% Drill Set – Take 5–10s after each 25 Six Times Through... 25 Press Your Buoy Drill 25 Swim Pre-Set 6x50 Swim in :35 (CS) on :45 Main Set 3x600 as follows, w/ 20s in between each: #1 in 7:07–7:14 (Z2) #2 in 7:20–7:27 (Z1) #3 in 6:59–7:06 (CS) #4 in 6:59–7:06 (CS) Cool Down 3x25 Press Your Buoy Drill 1x50 Swim – focused on PYB and a neutral head – Take 5–10s between each",54,3240
1,Triathlon Swim Series - Endurance Build #1,3000,"Warm Up 400 as: - 200 Swim @50–70% - 3x25 Kick – Take 5s - 100 Pull @70% Drill Set – Take 5–10s after each 25 Six Times Through... 25 Press Your Buoy Drill 25 Swim Pre-Set 6x50 Swim in :35 (CS) on :45 Main Set 3x600 as follows, w/ 20s in between each: #1 in 7:07–7:14 (Z2) #2 in 7:20–7:27 (Z1) #3 in 6:59–7:06 (CS) #4 in 6:59–7:06 (CS) Cool Down 3x25 Press Your Buoy Drill 2x50 Swim – focused on PYB and a neutral head – Take 5–10s between each",60,3600
1,Triathlon Swim Series - Endurance Build #1,3200,"Warm Up 400 as: - 200 Swim @50–70% - 3x25 Kick – Take 5s - 100 Pull @70% Drill Set – Take 5–10s after each 25 Six Times Through... 25 Press Your Buoy Drill 25 Swim Pre-Set 7x50 Swim in :35 (CS) on :45 Main Set 3x600 as follows, w/ 20s in between each: #1 in 7:07–7:14 (Z2) #2 in 7:20–7:27 (Z1) #3 in 6:59–7:06 (CS) #4 in 6:59–7:06 (CS) Cool Down 3x25 Press Your Buoy Drill 2x50 Swim – focused on PYB and a neutral head – Take 5–10s between each",64,3840
1,Triathlon Swim Series - Endurance Build #1,3500,"Warm Up 400 as: - 200 Swim @50–70% - 4x25 Kick – Take 5s - 100 Pull @70% Drill Set – Take 5–10s after each 25 Six Times Through... 25 Press Your Buoy Drill 25 Swim Pre-Set 8x50 Swim in :35 (CS) on :45 Main Set 4x600 as follows, w/ 20s in between each: #1 in 7:07–7:14 (Z2) #2 in 7:20–7:27 (Z1) #3 in 6:59–7:06 (CS) #4 in 6:59–7:06 (CS) Cool Down 4x25 Press Your Buoy Drill 2x50 Swim – focused on PYB and a neutral head – Take 5–10s between each",70,4200
1,Triathlon Swim Series - Endurance Build #1,3700.0,"Warm Up 400 as: - 200 Swim @50–70% - 4x25 Kick – Take 5s - 100 Pull @70% Drill Set – Take 5–10s after each 25 Six Times Through... 25 Press Your Buoy Drill 25 Swim Pre-Set 8x50 Swim in :35 (CS) on :45 Main Set 4x600 as follows, w/ 20s in between each: #1 in 7:07–7:14 (Z2) #2 in 7:20–7:27 (Z1) #3 in 6:59–7:06 (CS) #4 in 6:59–7:06 (CS) Cool Down 4x25 Press Your Buoy Drill 2x50 Swim – focused on PYB and a neutral head – Take 5–10s between each",74,4440
2,Triathlon Swim Series - Endurance Build #2,2000,"Warm Up 400 as: - 200 Swim @50–70% - 100 Pull/Paddles @70% - 2x25 FAST Swim – Take 10s Drill Set – Take 5–10s after each 50 Six Times Through... - 25 TARZAN Swim - 25 Swim Pre-Set 8x(25 Kick, 50 Swim @80% – Take 10s) Main Set 3x100 Swim in 1:10 (CS) on 1:20 1x250 Swim in 2:58–3:01 (Z2) on 3:15 500 Swim in 5:56-6:02 (Z2) – Take 20s 2x100 Swim in 1:07 (5%) on 1:25 Cool Down 2x25 TARZAN Swim – Take 5s 100 Swim br 3/5/7/3 by 25",40,2400
2,Triathlon Swim Series - Endurance Build #2,2200,"Warm Up 400 as: - 200 Swim @50–70% - 100 Pull/Paddles @70% - 3x25 FAST Swim – Take 10s Drill Set – Take 5–10s after each 50 Six Times Through... - 25 TARZAN Swim - 25 Swim Pre-Set 8x(25 Kick, 50 Swim @80% – Take 10s) Main Set 4x100 Swim in 1:10 (CS) on 1:20 1x250 Swim in 2:58–3:01 (Z2) on 3:15 500 Swim in 5:56-6:02 (Z2) – Take 20s 3x100 Swim in 1:07 (5%) on 1:25 Cool Down 3x25 TARZAN Swim – Take 5s 100 Swim br 3/5/7/3 by 25",44,2640
2,Triathlon Swim Series - Endurance Build #2,2500,"Warm Up 400 as: - 200 Swim @50–70% - 100 Pull/Paddles @70% - 3x25 FAST Swim – Take 10s Drill Set – Take 5–10s after each 50 Six Times Through... - 25 TARZAN Swim - 25 Swim Pre-Set 8x(25 Kick, 50 Swim @80% – Take 10s) Main Set 4x100 Swim in 1:10 (CS) on 1:20 1x250 Swim in 2:58–3:01 (Z2) on 3:15 500 Swim in 5:56-6:02 (Z2) – Take 20s 3x100 Swim in 1:07 (5%) on 1:25 Cool Down 3x25 TARZAN Swim – Take 5s 100 Swim br 3/5/7/3 by 25",50,3000
2,Triathlon Swim Series - Endurance Build #2,2700,"Warm Up 400 as: - 200 Swim @50–70% - 100 Pull/Paddles @70% - 3x25 FAST Swim – Take 10s Drill Set – Take 5–10s after each 50 Six Times Through... - 25 TARZAN Swim - 25 Swim Pre-Set 8x(25 Kick, 50 Swim @80% – Take 10s) Main Set 5x100 Swim in 1:10 (CS) on 1:20 2x250 Swim in 2:58–3:01 (Z2) on 3:15 500 Swim in 5:56-6:02 (Z2) – Take 20s 3x100 Swim in 1:07 (5%) on 1:25 Cool Down 3x25 TARZAN Swim – Take 5s 100 Swim br 3/5/7/3 by 25",54,3240
2,Triathlon Swim Series - Endurance Build #2,3000,"Warm Up 400 as: - 200 Swim @50–70% - 100 Pull/Paddles @70% - 3x25 FAST Swim – Take 10s Drill Set – Take 5–10s after each 50 Six Times Through... - 25 TARZAN Swim - 25 Swim Pre-Set 8x(25 Kick, 50 Swim @80% – Take 10s) Main Set 5x100 Swim in 1:10 (CS) on 1:20 2x250 Swim in 2:58–3:01 (Z2) on 3:15 500 Swim in 5:56-6:02 (Z2) – Take 20s 3x100 Swim in 1:07 (5%) on 1:25 Cool Down 3x25 TARZAN Swim – Take 5s 100 Swim br 3/5/7/3 by 25",60,3600
2,Triathlon Swim Series - Endurance Build #2,3200,"Warm Up 400 as: - 200 Swim @50–70% - 100 Pull/Paddles @70% - 4x25 FAST Swim – Take 10s Drill Set – Take 5–10s after each 50 Six Times Through... - 25 TARZAN Swim - 25 Swim Pre-Set 8x(25 Kick, 50 Swim @80% – Take 10s) Main Set 5x100 Swim in 1:10 (CS) on 1:20 2x250 Swim in 2:58–3:01 (Z2) on 3:15 500 Swim in 5:56-6:02 (Z2) – Take 20s 4x100 Swim in 1:07 (5%) on 1:25 Cool Down 4x25 TARZAN Swim – Take 5s 100 Swim br 3/5/7/3 by 25",64,3840
